round_id,crash_point,total_bet,total_win,net_profit,avg_odds,num_bets,num_cashouts
32543955,2.04,8560793.090000002,7308273.790000001,-1252519.3000000007,1.4777777777777779,105,9
32543998,25.68,3965110.0599999987,10186053.829999998,6220943.77,3.2453333333333334,107,30
32544028,1.06,3699844.0099999993,0,-3699844.0099999993,0,75,0
32544113,1.11,2806304.0800000005,31930.07,-2774374.0100000007,1.03,119,1
32544132,22.35,4919118.989999999,9672242.28,4753123.29,3.2133333333333334,112,30
32544156,1.64,4979731.150000002,0,-4979731.150000002,0,89,0
32544239,4.67,6039099.180000002,7410608.73,1371509.5499999989,2.27375,118,24
32544271,1.58,4609345.139999999,359632.67000000004,-4249712.469999999,1.1666666666666667,93,3
32544315,22.56,5804264.0200000005,11558137.559999999,5753873.539999998,3.1343333333333327,107,30
32544344,4.59,7129800.269999999,9508854.59,2379054.320000001,2.328095238095238,84,21
32544426,1,4949179.290000001,0,-4949179.290000001,0,108,0
32544475,4.31,4385142.040000001,6182424.3,1797282.2599999988,2.7399999999999998,122,23
32544490,1.28,6768244.500000001,0,-6768244.500000001,0,116,0
32544525,1.09,5777214.019999999,0,-5777214.019999999,0,127,0
32544556,6.72,4910993.11,10424929.91,5513936.8,3.086153846153846,121,26
32544584,1.59,6467291.530000001,984047.02,-5483244.510000002,1.35,104,2
32544628,10.96,7920644.22,21978137.17,14057492.950000003,2.6558620689655172,119,29
32544657,3.45,6914553.51,7580283.7,665730.1900000004,1.8735294117647054,102,17
32544722,1.19,8787056.039999995,0,-8787056.039999995,0,114,0
32544752,30.67,5792695.3999999985,11180069.68,5387374.280000001,3.5813333333333337,125,30
32544784,19.85,4757861.340000003,14137940.5,9380079.159999996,4.168000000000001,93,30
32544872,1.2,5542761.380000004,0,-5542761.380000004,0,89,0
32544946,1.21,4560004.93,0,-4560004.93,0,126,0
32544970,1.38,5354971.970000001,1419115.0999999999,-3935856.870000001,1.1,126,2
32544996,2.26,5799984.069999998,2892614.36,-2907369.7099999986,1.2983333333333331,115,6
32545025,2.07,9471787.250000004,7256814.6,-2214972.650000004,1.4835714285714288,124,14
32545066,1.02,7792033.619999997,0,-7792033.619999997,0,117,0
32545090,2.16,4273082.049999999,1002184.86,-3270897.189999999,1.4849999999999999,131,4
32545115,1,8214909.89,0,-8214909.89,0,117,0
32545148,5.18,5068810.069999998,6321484.559999999,1252674.4900000002,2.4455999999999998,122,25
32545175,1.8,8235346.000000002,5425013.460000001,-2810332.540000001,1.3366666666666667,120,6
32545219,3.84,8751224.729999999,8844792.98,93568.25000000186,1.9200000000000002,128,18
32545249,1.47,7902432.42,1938037.59,-5964394.83,1.2933333333333332,113,3
32545287,7.27,5111943.880000004,10496539.969999999,5384596.089999995,2.8333333333333326,125,27
32545316,2.35,5902003.840000001,4001709.82,-1900294.020000001,1.7016666666666664,112,12
32545368,1.01,6618205.209999999,0,-6618205.209999999,0,124,0
32545405,4.31,3653169.3200000008,4851272.510000003,1198103.1900000018,2.4404999999999997,126,20
32545421,4.91,5527593.95,7088812.06,1561218.1099999994,2.0275000000000003,117,24
32545469,3.57,4701223.889999999,6054468.38,1353244.4900000012,2.2114285714285713,100,21
32545514,7.21,5289798.089999999,8972949.84,3683151.750000001,2.846923076923077,124,26
32545557,2.05,5277660.489999997,3209275.75,-2068384.7399999974,1.47875,95,8
32545607,4.51,3727164.1400000006,4356877.640000001,629713.5,2.253181818181818,119,22
32545638,12.95,4741018.589999999,10614504.43,5873485.840000001,2.822758620689655,110,29
32545675,1.42,4852141.170000001,57840.12,-4794301.050000001,1.14,88,1
32545746,2.55,3875700.6399999997,2817182.1,-1058518.5399999996,1.8145454545454542,124,11
32545775,4.21,6548160.450000003,8741514.920000002,2193354.469999999,2.1396153846153845,112,26
32545810,1.61,6605602.750000002,1930579.44,-4675023.310000002,1.1800000000000002,106,4
32545857,15.96,4842915.300000002,12072409.809999999,7229494.509999997,3.540666666666667,119,30
32545886,1.32,4573835.380000003,381940.77999999997,-4191894.600000003,1.145,79,2
32545956,1.92,6104429.089999997,2908567.31,-3195861.779999997,1.4224999999999999,124,8
32545980,2.32,6102216.760000002,4741926.55,-1360290.2100000018,1.6224999999999998,117,16
32546014,1.02,5443775.659999999,0,-5443775.659999999,0,113,0
32546049,2.04,4241251.3500000015,1119907.63,-3121343.7200000016,1.63,121,4
32546072,2.26,7228562.299999999,4524454.899999999,-2704107.3999999994,1.482,113,10
32546105,2.36,6099832.319999999,4054331.3899999987,-2045500.9300000006,1.801666666666667,113,12
32546144,4.03,6066839.28,7627703.670000001,1560864.3900000006,2.178260869565217,124,23
32546177,2.33,5571958.650000001,3060949.31,-2511009.3400000012,1.673636363636364,114,11
32546218,1.68,4457212.8500000015,1200932.3599999999,-3256280.4900000016,1.4475000000000002,125,4
32546252,2.33,5119023.750000002,3764755.3000000003,-1354268.4500000016,1.7387499999999998,109,16
32546286,1.13,5132973.369999999,0,-5132973.369999999,0,121,0
32546320,2,4075232.7600000016,1240249.33,-2834983.4300000016,1.4766666666666668,113,6
32546347,2.47,6164413.859999999,4092851.6000000006,-2071562.2599999988,1.6115384615384616,118,13
32546384,1.47,6963939.31,752981.05,-6210958.26,1.3633333333333333,116,3
32546415,6.55,5709883.120000001,12338837.95,6628954.829999998,2.948666666666666,110,30
32546448,1.33,5995973.700000002,442679.32999999996,-5553294.370000002,1.13,95,2
32546495,1.12,5723562.2,0,-5723562.2,0,114,0
32546519,3.55,6052151.17,6724235.800000002,672084.6300000018,2.0123809523809526,122,21
32546546,2.64,6560649.749999998,6036009.029999998,-524640.7199999997,1.8179999999999998,100,15
32546590,24.18,6923352.780000001,16488012.19,9564659.409999998,3.611666666666667,111,30
32546628,1.2,6073520.95,0,-6073520.95,0,82,0
32546704,1.53,3789380.5800000005,418576.15,-3370804.4300000006,1.29,117,1
32546733,1.16,7069307.329999999,96791.51,-6972515.819999999,1.02,107,1
32546763,1.58,5686551.7299999995,565408.6000000001,-5121143.129999999,1.08,120,2
