timestamp,round_id,crash_point
1747071700.6132863,32546448,1.33
1747071713.4087193,32546495,1.12
1747071734.1092257,32546519,3.55
1747071752.8065202,32546546,2.64
1747071793.8103228,32546590,24.18
1747071807.1853058,32546628,1.2
1747071822.3807268,32546704,1.53
1747071835.5274107,32546733,1.16
1747071850.9243326,32546763,1.58
1747071874.0074646,32546789,4.88
1747071899.727328,32546820,6.76
1747071914.797517,32546861,1.51
1747071950.4575737,32546908,16.75
1747071970.5895607,32546937,3.3
1747071996.5683365,32547009,6.94
1747072025.611942,32547047,9.56
1747072044.2884276,32547101,2.65
1747072085.8364658,32547154,24.95
1747072115.459556,32547189,10.1
1747072132.5135977,32547272,2.06
1747072152.162552,32547327,3.05
1747072169.076612,32547358,2.01
1747072186.3251987,32547397,2.09
1747072210.5556052,32547432,5.66
1747072232.5318851,32547470,4.24
1747072246.671393,32547520,1.32
1747072262.089373,32547559,1.58
1747072294.6864188,32547589,13.13
1747072307.7093365,32547626,1.12
1747072331.2417545,32547687,5.26
1747072348.4981968,32547707,2.12
1747072360.167597,32547752,1.03
1747072372.4723701,32547779,1.07
1747072406.0358903,32547802,14.22
1747072422.1745734,32547826,1.78
1747072442.9079883,32547897,3.57
1747072456.2224324,32547929,1.19
1747072493.370561,32547968,18.63
1747072505.4597297,32547994,1.06
1747072524.2149563,32548064,2.66
1747072536.455093,32548092,1.07
1747072553.4292462,32548126,2.02
1747072573.8071811,32548151,3.37
1747072599.1902025,32548191,6.49
1747072612.6770654,32548225,1.21
1747072626.5655344,32548278,1.27
1747072641.7887142,32548303,1.54
1747072654.1440296,32548335,1.08
1747072676.8288605,32548368,4.66
1747072693.0038476,32548391,1.79
1747072707.3337572,32548433,1.35
1747072719.812375,32548465,1.09
1747072740.647533,32548494,3.62
1747072756.5732145,32548527,1.67
1747072778.018344,32548567,3.93
1747072794.733811,32548594,1.95
1747072820.666331,32548630,6.9
1747072832.3000429,32548663,1.03
1747072861.3067539,32548718,9.47
1747072879.346347,32548743,2.4
1747072901.4112895,32548799,4.3
1747072919.0348406,32548838,2.25
1747072935.5328403,32548880,1.88
1747072954.1378853,32548917,2.61
1747072978.8163466,32548949,5.99
1747072998.1977375,32548984,2.95
1747073018.8016434,32549031,3.51
1747073042.4477944,32549069,5.28
1747073054.4182754,32549107,1.05
1747073070.9503682,32549157,1.88
1747073089.0339234,32549178,2.41
1747073107.1626372,32549210,2.43
1747073121.64159,32549246,1.38
1747073134.7824855,32549282,1.16
1747073149.0146456,32549315,1.33
1747073169.5953023,32549341,3.5
1747073186.9744577,32549368,2.17
1747073204.0479484,32549412,2.06
1747073230.5474143,32549446,7.34
1747073245.2847464,32549480,1.44
1747073264.7213554,32549529,2.94
1747073284.357324,32549556,3.06
1747073301.2515664,32549596,1.99
1747073315.787701,32549633,1.39
1747073327.278298,32549670,1.02
1747073356.1142344,32549695,9.33
1747073390.6099827,32549720,15.33
1747073407.4566007,32549772,1.99
1747073420.876168,32549845,1.2
1747073431.4555326,32549878,1
1747073445.921704,32549902,1.38
1747073461.4433684,32549925,1.61
1747073475.5978878,32549955,1.32
1747073504.1364636,32549981,9.07
1747073541.5874894,32550006,19.1
1747073560.0469189,32550063,2.56
1747073570.6022577,32550140,1
1747073584.2670033,32550176,1.24
1747073599.807372,32550199,1.62
1747073630.003923,32550224,10.62
1747073647.9668334,32550254,2.38
1747073663.1817012,32550311,1.54
1747073680.147221,32550349,2.02
1747073693.0699384,32550384,1.14
1747073709.2834923,32550417,1.79
1747073723.4343295,32550438,1.32
1747073748.2963994,32550470,6.08
1747073761.6764205,32550506,1.2
